GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
0,0,205,-27.37980993,153.1315125
0,0,205,-27.37980994,153.1315125
0,0,205,-27.37980994,153.1315125
0,0,205,-27.37980994,153.1315125
0,0,205,-27.37980994,153.1315125
0,0,205,-27.37980994,153.1315125
0,0,205,-27.37980995,153.1315125
0,0,205,-27.37980995,153.1315125
0,0,205,-27.37980995,153.1315125
0,0,205,-27.37980995,153.1315125
0,0,205,-27.37980995,153.1315125
0,0,205,-27.37980996,153.1315125
0,0,205,-27.37980996,153.1315125
0,0,205,-27.37980996,153.1315125
0,0,205,-27.37980996,153.1315125
0,0,205,-27.37980996,153.1315125
0,0,205,-27.37980996,153.1315125
0,0,205,-27.37980997,153.1315125
0,0,205,-27.37980997,153.1315125
0,0,205,-27.37980997,153.1315125
0,0,205,-27.37980997,153.1315125
0,0,205,-27.37980997,153.1315125
0,0,205,-27.37980998,153.1315125
0,0,205,-27.37980998,153.1315125
0,0,205,-27.37980998,153.1315125
0,0,205,-27.37980998,153.1315125
0,0,205,-27.37980998,153.1315125
0,0,205,-27.37980999,153.1315125
0,0,205,-27.37980999,153.1315125
0,0,205,-27.37980999,153.1315125
0,0,205,-27.37980999,153.1315125
0,0,205,-27.37980999,153.1315125
0,0,205,-27.37981,153.1315125
0,0,205,-27.37981,153.1315125
0,0,205,-27.37981,153.1315125
0,0,205,-27.37981,153.1315125
0,0,205,-27.37981,153.1315125
0,0,205,-27.37981001,153.1315125
0,0,205,-27.37981001,153.1315125
0,0,205,-27.37981001,153.1315125
0,0,205,-27.37981001,153.1315125
0,0,205,-27.37981001,153.1315125
0,0,205,-27.37981002,153.1315125
0,0,205,-27.37981002,153.1315125
0,0,205,-27.37981002,153.1315125
0,0,205,-27.37981002,153.1315124
0,0,205,-27.37981002,153.1315124
0,0,205,-27.37981003,153.1315124
0,0,205,-27.37981003,153.1315124
0,0,205,-27.37981003,153.1315124
0,0,205,-27.37981003,153.1315124
0,0,205,-27.37981003,153.1315124
0,0,205,-27.37981004,153.1315124
0,0,205,-27.37981004,153.1315124
0,0,205,-27.37981005,153.1315124
0,0,205,-27.37981031,153.1315123
1,0,205,-27.37981167,153.1315116
3,0,205,-27.37981553,153.1315095
5,0,205,-27.37982266,153.1315057
7,0,205,-27.37983361,153.1314999
10,0,204,-27.37984903,153.1314919
12,0,203,-27.37986701,153.131483
13,0,202,-27.37988837,153.1314728
15,0,202,-27.37991356,153.1314611
16,0,202,-27.37993939,153.1314493
17,0,202,-27.37996798,153.1314361
19,0,202,-27.3799993,153.1314216
20,3,203,-27.38003513,153.1314052
21,3,204,-27.38006809,153.1313898
22,3,205,-27.38010482,153.1313718
23,3,205,-27.38014349,153.1313523
25,3,204,-27.38018574,153.1313308
26,3,204,-27.38022868,153.1313089
27,3,205,-27.38027342,153.1312862
28,3,205,-27.38032328,153.1312607
29,3,205,-27.38037156,153.1312357
30,3,206,-27.3804189,153.1312109
31,3,207,-27.38047344,153.1311817
32,3,207,-27.38052569,153.1311529
33,3,208,-27.38057933,153.1311227
34,3,208,-27.38063366,153.1310916
35,3,208,-27.38069303,153.1310573
36,3,208,-27.38075105,153.1310235
37,3,208,-27.38081092,153.1309882
38,3,208,-27.38087122,153.1309526
39,3,208,-27.38093444,153.1309152
40,3,208,-27.38100174,153.1308754
41,3,208,-27.38107095,153.1308344
42,3,208,-27.38113977,153.1307937
43,3,207,-27.38120377,153.130756
44,3,207,-27.38127757,153.1307126
44,3,207,-27.38134714,153.130672
45,3,207,-27.38142463,153.130627
46,3,207,-27.38150051,153.1305834
47,3,206,-27.3815723,153.1305424
48,3,206,-27.38166431,153.1304902
49,3,206,-27.38174627,153.1304443
50,3,207,-27.38182874,153.1303983
50,3,208,-27.38191179,153.1303518
51,3,209,-27.38199449,153.1303046
52,3,209,-27.38207961,153.1302549
53,3,208,-27.38217382,153.1301991
55,3,207,-27.3822625,153.1301467
56,3,207,-27.38235236,153.1300938
57,3,206,-27.38245393,153.1300347
58,3,206,-27.38254964,153.1299798
59,3,205,-27.38264321,153.1299268
61,3,205,-27.3827507,153.1298668
62,3,205,-27.38285243,153.1298107
62,3,205,-27.38295653,153.129754
63,3,206,-27.38306012,153.1296979
64,3,205,-27.38316943,153.129639
65,3,205,-27.38328022,153.1295794
66,3,205,-27.38339317,153.1295189
67,3,205,-27.38350894,153.1294572
68,3,205,-27.38362327,153.1293965
69,3,206,-27.38374745,153.1293308
70,3,206,-27.38385486,153.1292737
71,3,205,-27.38396812,153.1292135
72,3,206,-27.38409746,153.1291446
72,3,206,-27.38421651,153.129081
73,3,206,-27.38433329,153.1290183
74,3,207,-27.38447319,153.1289427
74,3,208,-27.38459724,153.128875
74,3,208,-27.38471233,153.128811
76,3,208,-27.38484883,153.1287337
77,3,207,-27.38497298,153.1286628
77,3,207,-27.38509668,153.1285918
78,3,207,-27.38523003,153.1285151
79,3,207,-27.38536626,153.1284365
80,3,207,-27.38549296,153.1283635
82,3,207,-27.38563747,153.1282804
83,3,207,-27.38577381,153.1282023
84,3,206,-27.38591154,153.1281236
85,3,206,-27.38604933,153.1280452
86,3,206,-27.3861969,153.1279614
87,3,206,-27.38634137,153.1278797
88,3,206,-27.38649233,153.1277945
89,3,206,-27.38663818,153.1277123
90,3,206,-27.38678469,153.1276298
91,3,206,-27.38693412,153.1275456
92,3,206,-27.38708875,153.1274583
93,3,205,-27.38724669,153.1273692
93,3,205,-27.38740083,153.1272821
